apk,filename,sha256,status,package,target_sdk,min_sdk,pendingintent_create_calls,pendingintent_send_calls,pendingintent_cancel_calls,pendingintent_intentsender_calls,mutable_hits,immutable_hits,unsafe_implicit_hits,fillin_hits,external_pi_source_hits,ownership_hits,permission_hits,explicit_intent_hits,implicit_intent_hits,activity_count,service_count,receiver_count,provider_count,exported_component_count,permissioned_component_count,permission_count,v1_score,v2_score,v3_score,max_score,classification,analysis_seconds
D:\APK_Downloader\android_repositories\fdroid_main\com.foss.aihub_13.apk,com.foss.aihub_13.apk,d96a12519bd1e4391a08f64e2a05570780ec2c7d093322d410ef721c224b3008,OK,com.foss.aihub,36,26,2,5,0,0,4,6,4,0,2,0,0,0,0,1,0,1,1,2,1,6,15,18,5,18,mixed,3.68
D:\APK_Downloader\android_repositories\fdroid_main\com.metalshard.projectwave_2.apk,com.metalshard.projectwave_2.apk,2b1a8a96d7b12d701d6ef3e34974cca3f5c33f4f4c6f0d3f7490fc9bdc966bb6,OK,com.metalshard.projectwave,36,21,17,3,0,1,4,3,2,0,2,0,0,28,2,1,2,1,1,3,1,5,19,18,5,19,mixed,40.73
D:\APK_Downloader\android_repositories\fdroid_main\com.foxdebug.acode_1002.apk,com.foxdebug.acode_1002.apk,2c9f53080c0a4a7f6475c5e00546c395db4343fe46a038eb9084b3727534f262,OK,com.foxdebug.acode,28,26,16,3,0,2,1,6,0,0,2,0,0,4,4,4,1,1,3,3,2,11,15,18,5,18,mixed,29.74
D:\APK_Downloader\android_repositories\fdroid_main\org.andresoviedo.dddmodel2_36.apk,org.andresoviedo.dddmodel2_36.apk,5bd321f86ca6b35366def6329ac50630886b03af53f0106ab53b7892ffdca6ec,OK,org.andresoviedo.dddmodel2,35,21,9,3,0,1,1,0,0,0,1,0,0,4,0,2,0,1,1,2,1,3,14,18,5,18,mixed,12.57
D:\APK_Downloader\android_repositories\fdroid_main\com.freerdp.afreerdp_3026000.apk,com.freerdp.afreerdp_3026000.apk,fab9506aab0847d5b6ae72bc2aff0b177d1c5d34f4108fe9417ca314c87b7e7f,OK,com.freerdp.afreerdp,36,23,9,2,0,1,1,0,0,0,1,0,0,4,0,8,1,1,1,9,1,8,14,18,5,18,mixed,18.64
D:\APK_Downloader\android_repositories\fdroid_main\com.aipos.aipospm_3.apk,com.aipos.aipospm_3.apk,1e2d5808fbc7e736c150c8553741912b595958f117e96d42d3e59a4343152116,OK,com.aipos.aipospm,36,24,10,4,0,1,0,1,0,0,3,0,0,4,0,1,2,1,1,2,1,4,5,18,5,18,v2,74.56
D:\APK_Downloader\android_repositories\fdroid_main\com.mufradat.africaquiz_1.apk,com.mufradat.africaquiz_1.apk,649282d36bd5c237acfc7354d1d3af66fac198706880cf7353903dd47260ad12,OK,com.mufradat.africaquiz,36,24,8,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,5,18,5,18,v2,23.91
D:\APK_Downloader\android_repositories\fdroid_main\space.ring0.airheadwaves_3.apk,space.ring0.airheadwaves_3.apk,d2a5e7b5e5bc187621506521345079bc09266fbf06ece839c9816b633c8234aa,OK,space.ring0.airheadwaves,36,29,9,2,0,1,0,1,1,0,1,0,0,0,0,1,2,1,1,2,1,7,9,18,5,18,v2,55.16
D:\APK_Downloader\android_repositories\fdroid_main\business.braid.polycule_344.apk,business.braid.polycule_344.apk,40295836f19bb6a80002cd99579623af5a4038d5c24f8d2fc3e58f999f30468f,OK,business.braid.polycule,35,23,9,0,0,7,5,11,5,0,14,1,0,10,14,3,4,6,3,5,2,10,17,16,7,17,mixed,7.2
D:\APK_Downloader\android_repositories\fdroid_main\org.adaway_60104.apk,org.adaway_60104.apk,0de00a58a0dbb4c4b6befc9fe1f5e53800993484baab955824798f46fbf3338e,OK,org.adaway,33,26,9,0,1,0,4,9,3,0,1,0,0,0,2,11,6,12,3,9,6,9,17,16,23,23,mixed,9.58
D:\APK_Downloader\android_repositories\fdroid_main\org.akvo.rsr.up_36.apk,org.akvo.rsr.up_36.apk,e6d5148b9d6ba95e9ff1ef21af5f303b95a904fecebd3351c3b0f42475ed20c0,OK,org.akvo.rsr.up,30,21,8,0,0,0,4,4,4,0,1,0,0,4,0,16,4,8,1,2,2,6,13,16,5,16,mixed,4.1
D:\APK_Downloader\android_repositories\fdroid_main\net.activitywatch.android_34.apk,net.activitywatch.android_34.apk,17ccc6c320561c403a76487436fc418d206064542319c3476741b0f8efed01fa,OK,net.activitywatch.android,32,24,5,0,0,1,3,2,2,0,1,0,0,9,1,2,1,1,1,4,1,4,17,16,5,17,mixed,15.42
D:\APK_Downloader\android_repositories\fdroid_main\com.lolo.io.onelist_22.apk,com.lolo.io.onelist_22.apk,077f0e17216bc7f6597c1b71b15005cd0f1be04400b5f29959348db076b46ee8,OK,com.lolo.io.onelist,34,23,1,0,0,2,1,0,0,0,6,0,0,4,0,5,1,1,1,6,1,4,12,16,5,16,mixed,4.83
D:\APK_Downloader\android_repositories\fdroid_main\com.github.sourzo.a_rithist_8.apk,com.github.sourzo.a_rithist_8.apk,315662b8d8c1ea9883cf9f73c8be007c940e217c32d09acccdffdee365218494,OK,com.github.sourzo.a_rithist,34,24,2,0,0,1,1,0,0,0,1,0,0,4,0,4,0,1,1,2,1,1,12,16,5,16,mixed,21.49
D:\APK_Downloader\android_repositories\fdroid_main\in.digistorm.aksharam_8.apk,in.digistorm.aksharam_8.apk,5c954e74e6cb26833bb6d77edaca67bfd681242be7c9171c01c4f84ef5a8aa0c,OK,in.digistorm.aksharam,33,21,9,0,0,1,1,0,0,0,1,0,0,4,0,1,0,1,1,2,1,3,12,16,5,16,mixed,12.68
D:\APK_Downloader\android_repositories\fdroid_main\com.hassaneltantawy.alazkar_15.apk,com.hassaneltantawy.alazkar_15.apk,ee13269f826dae18bfe0f617b4c4c64094e8a126452b127c49c3a2741407944d,OK,com.hassaneltantawy.alazkar,36,24,1,0,0,1,0,0,0,0,1,0,0,0,6,2,0,2,3,2,1,1,3,16,5,16,v2,2.71
D:\APK_Downloader\android_repositories\fdroid_main\org99managers.futsal_edition_16.apk,org99managers.futsal_edition_16.apk,c9eeea657951f694067f125222dea62f5a7a5c88e44d9c4b2c75de5e5ae5aab1,OK,org99managers.futsal_edition,36,24,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,2,2,1,0,3,16,5,16,v2,7.3
D:\APK_Downloader\android_repositories\fdroid_main\io.github.jqssun.airplay_30.apk,io.github.jqssun.airplay_30.apk,4f5c3a76a9c4d6267ddcfd20070b13d21ea4135a84e041ef277fd663e73981c6,OK,io.github.jqssun.airplay,36,24,5,5,0,0,22,23,23,0,0,0,0,7,0,1,1,2,2,3,1,12,15,14,0,15,mixed,5.79
D:\APK_Downloader\android_repositories\fdroid_main\com.activitytrace_10.apk,com.activitytrace_10.apk,3033b51476c195257e51862e8ee2438ec9db580b8737fe6bb1873deb929ff86b,OK,com.activitytrace,36,26,6,1,1,0,11,13,9,0,0,0,0,11,10,2,6,11,1,5,5,6,19,14,13,19,mixed,14.43
D:\APK_Downloader\android_repositories\fdroid_main\com.beradeep.aiyo_10.apk,com.beradeep.aiyo_10.apk,94f7ddfe604e778c0116a75e234df2a0f8b47e3d5faf6446bab25ef782cef2ac,OK,com.beradeep.aiyo,36,24,2,5,0,0,5,6,5,0,0,0,0,0,0,1,1,1,1,2,1,2,15,14,0,15,mixed,5.15
D:\APK_Downloader\android_repositories\fdroid_main\ch.abertschi.adfree_42.apk,ch.abertschi.adfree_42.apk,9863e46e0c892ecd362964ae3197ed7c830e3f88f8980cc9fe333268c0aafe2e,OK,ch.abertschi.adfree,27,23,7,2,0,0,3,2,3,0,0,0,0,12,1,6,2,1,0,1,1,4,19,14,0,19,mixed,11.23
D:\APK_Downloader\android_repositories\fdroid_main\de.seemoo.at_tracking_detection_67.apk,de.seemoo.at_tracking_detection_67.apk,58c6343a0813a907d5bf9ae0051ae378c41673f47887b520ac8c062528383140,OK,de.seemoo.at_tracking_detection,37,28,10,0,2,0,17,9,9,0,0,0,2,12,8,5,5,8,1,5,3,18,17,13,15,17,mixed,3.82
D:\APK_Downloader\android_repositories\fdroid_main\at.h4x.awhip_10100.apk,at.h4x.awhip_10100.apk,ef0896ebfdde39c8215f0a88c130b094a9f75f17c6c894e9fb50df802c8dd10c,OK,at.h4x.awhip,31,21,5,0,0,1,3,1,2,0,1,0,0,12,0,3,0,0,1,1,0,0,13,13,5,13,mixed,9.18
D:\APK_Downloader\android_repositories\fdroid_main\de.rainerhock.eightbitwonders_100091.apk,de.rainerhock.eightbitwonders_100091.apk,eda7bf2708380ae165b22be85f334238f703aeee6445b6a986e440b9c7139cb0,OK,de.rainerhock.eightbitwonders,35,19,4,0,0,0,1,2,1,0,1,0,0,4,2,13,3,2,2,3,0,7,17,13,5,17,mixed,2.63
