apk,filename,sha256,status,package,target_sdk,min_sdk,pendingintent_create_calls,pendingintent_send_calls,pendingintent_cancel_calls,pendingintent_intentsender_calls,mutable_hits,immutable_hits,unsafe_implicit_hits,fillin_hits,external_pi_source_hits,ownership_hits,permission_hits,explicit_intent_hits,implicit_intent_hits,activity_count,service_count,receiver_count,provider_count,exported_component_count,permissioned_component_count,permission_count,v1_score,v2_score,v3_score,max_score,classification,analysis_seconds
D:\APK_Downloader\android_repositories\fdroid_main\com.ahorcado_7.apk,com.ahorcado_7.apk,7f4df3878508804bd0d15df2bdd29cb7f70377182b2e8c069c060024e547e2d5,OK,com.ahorcado,29,21,6,0,0,0,2,1,2,0,0,0,0,6,0,1,1,2,0,1,0,5,13,9,0,13,v1,4.65
D:\APK_Downloader\android_repositories\fdroid_main\com.aipos.aipospm_3.apk,com.aipos.aipospm_3.apk,1e2d5808fbc7e736c150c8553741912b595958f117e96d42d3e59a4343152116,OK,com.aipos.aipospm,36,24,10,4,0,1,0,1,0,0,3,0,0,4,0,1,2,1,1,2,1,4,5,18,5,18,v2,74.56
D:\APK_Downloader\android_repositories\fdroid_main\com.aisleron_23.apk,com.aisleron_23.apk,2b3fc5770e5810b2b603401cac6cb19f151760baf0dbd9e1a2d0389670f377cc,OK,com.aisleron,36,24,1,0,0,0,1,0,0,0,0,0,0,4,0,2,2,1,1,2,1,1,12,12,0,12,mixed,5.62
D:\APK_Downloader\android_repositories\fdroid_main\com.aka.alarm_6.apk,com.aka.alarm_6.apk,c41778893be5b52135379d0c0923715197387ca021bf8ff06136e090f63f2817,OK,com.aka.alarm,36,31,1,0,0,0,2,4,2,0,0,0,0,0,0,1,1,1,1,2,1,7,13,12,0,13,mixed,2.61
D:\APK_Downloader\android_repositories\fdroid_main\com.android.adbkeyboard_2.apk,com.android.adbkeyboard_2.apk,f9446fd3d7f775a764eb0df696b6819a7f3a4ea85bd17871855848ef72d6bb21,OK,com.android.adbkeyboard,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,3,none,0.03
D:\APK_Downloader\android_repositories\fdroid_main\com.andsi.airlyrics_10.apk,com.andsi.airlyrics_10.apk,9c0d8965395fbdc171728405eeafe9ca1fb79f50951e746bceccae974f38bd1f,OK,com.andsi.airlyrics,36,26,3,0,0,0,16,18,18,0,0,0,0,0,2,1,2,1,1,3,2,7,17,12,0,17,mixed,11.29
D:\APK_Downloader\android_repositories\fdroid_main\com.anysoftkeyboard.languagepack.afrikaans_oss_6158.apk,com.anysoftkeyboard.languagepack.afrikaans_oss_6158.apk,66eb0a97d362522d77cc919a9bdb4b8168872a14f96d1efe23ed22523a57e9f0,OK,com.anysoftkeyboard.languagepack.afrikaans_oss,35,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,3,1,1,0,9,0,9,none,3.25
D:\APK_Downloader\android_repositories\fdroid_main\com.beemdevelopment.aegis_81.apk,com.beemdevelopment.aegis_81.apk,ab633d31cc0fa49e3ae29a3b816a7fcbe04033a3227f42bd30cf86fcd3be4159,OK,com.beemdevelopment.aegis,35,23,3,0,0,0,1,2,0,0,0,0,0,4,2,15,4,3,2,5,3,6,13,12,0,13,mixed,9.03
D:\APK_Downloader\android_repositories\fdroid_main\com.beradeep.aiyo_10.apk,com.beradeep.aiyo_10.apk,94f7ddfe604e778c0116a75e234df2a0f8b47e3d5faf6446bab25ef782cef2ac,OK,com.beradeep.aiyo,36,24,2,5,0,0,5,6,5,0,0,0,0,0,0,1,1,1,1,2,1,2,15,14,0,15,mixed,5.15
D:\APK_Downloader\android_repositories\fdroid_main\com.codedead.advancedpassgen_4.apk,com.codedead.advancedpassgen_4.apk,40e183653a25fac4cbea3d794679f5bf5a0021969afaaa29ecc36b4258c591cf,OK,com.codedead.advancedpassgen,35,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,1,0,9,0,9,none,1.3
D:\APK_Downloader\android_repositories\fdroid_main\com.codedead.advancedportchecker_17.apk,com.codedead.advancedportchecker_17.apk,96d3096dc1ac75a539f5321ac3c3b3fda9039d3ca20cfbd59b4388fb1737a911,OK,com.codedead.advancedportchecker,35,29,1,0,0,0,6,7,6,0,0,0,0,0,2,4,0,1,1,2,1,7,17,12,0,17,mixed,2.21
D:\APK_Downloader\android_repositories\fdroid_main\com.corphish.nightlight.generic_66.apk,com.corphish.nightlight.generic_66.apk,1a3c2e9e1f402e782ea1be04df8a38215484e6529d10e4d63182e4e60402f152,OK,com.corphish.nightlight.generic,30,21,5,0,0,0,0,1,1,0,0,0,0,4,0,11,3,4,1,2,2,5,7,12,0,12,v2,10.13
D:\APK_Downloader\android_repositories\fdroid_main\com.dasp.worldcup2026_1.apk,com.dasp.worldcup2026_1.apk,8c7b60c9cef5a6343f000f12ff0a0714bc6f3de72ced17c57f1ce4a147bc4a67,OK,com.dasp.worldcup2026,35,23,4,0,0,0,0,2,0,0,0,0,0,0,3,1,2,3,0,4,2,3,3,12,0,12,v2,0.04
D:\APK_Downloader\android_repositories\fdroid_main\com.davidshewitt.admincontrol_5.apk,com.davidshewitt.admincontrol_5.apk,2895ae77b3af807a906cfe778ed2089988b8c99cc7264943387bad6755263681,OK,com.davidshewitt.admincontrol,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,9,0,9,none,0.43
D:\APK_Downloader\android_repositories\fdroid_main\com.foss.aihub_13.apk,com.foss.aihub_13.apk,d96a12519bd1e4391a08f64e2a05570780ec2c7d093322d410ef721c224b3008,OK,com.foss.aihub,36,26,2,5,0,0,4,6,4,0,2,0,0,0,0,1,0,1,1,2,1,6,15,18,5,18,mixed,3.68
D:\APK_Downloader\android_repositories\fdroid_main\com.foxdebug.acode_1002.apk,com.foxdebug.acode_1002.apk,2c9f53080c0a4a7f6475c5e00546c395db4343fe46a038eb9084b3727534f262,OK,com.foxdebug.acode,28,26,16,3,0,2,1,6,0,0,2,0,0,4,4,4,1,1,3,3,2,11,15,18,5,18,mixed,29.74
D:\APK_Downloader\android_repositories\fdroid_main\com.freerdp.afreerdp_3026000.apk,com.freerdp.afreerdp_3026000.apk,fab9506aab0847d5b6ae72bc2aff0b177d1c5d34f4108fe9417ca314c87b7e7f,OK,com.freerdp.afreerdp,36,23,9,2,0,1,1,0,0,0,1,0,0,4,0,8,1,1,1,9,1,8,14,18,5,18,mixed,18.64
D:\APK_Downloader\android_repositories\fdroid_main\com.games.boardgames.aeonsend_1.apk,com.games.boardgames.aeonsend_1.apk,9dbd85782b534a58c8112faa58e9229fc47e1af101a5dc9b36205bbe22910a57,OK,com.games.boardgames.aeonsend,26,15,5,0,0,0,1,0,1,0,0,0,0,12,0,2,0,0,0,0,0,0,16,3,0,16,v1,4.47
D:\APK_Downloader\android_repositories\fdroid_main\com.github.ashutoshgngwr.tenbitclockwidget_221.apk,com.github.ashutoshgngwr.tenbitclockwidget_221.apk,35ff9940fd3d73acd1099f3640be6367c311ec9f6c34fa17e4748e874ecfe763,OK,com.github.ashutoshgngwr.tenbitclockwidget,33,14,3,0,0,0,1,2,0,0,0,0,0,4,1,2,0,1,1,2,0,4,13,9,0,13,v1,2.1
D:\APK_Downloader\android_repositories\fdroid_main\com.github.meypod.al_azan_94000.apk,com.github.meypod.al_azan_94000.apk,b262e5cb7ef2fbc309ff766e283063e3b25f058b647b811b0cbef7934bc6a8cb,OK,com.github.meypod.al_azan,36,26,18,6,1,0,69,89,66,0,2,0,3,18,10,2,6,12,0,7,3,17,19,19,25,25,mixed,7.48
D:\APK_Downloader\android_repositories\fdroid_main\com.github.meypod.al_quran_43.apk,com.github.meypod.al_quran_43.apk,d54a704f5f6528c5a47affc5ada1c6945c4fbcb19ff09b968086f0392809371a,OK,com.github.meypod.al_quran,36,24,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,1,2,1,1,3,12,0,12,v2,2.65
D:\APK_Downloader\android_repositories\fdroid_main\com.github.sourzo.a_rithist_8.apk,com.github.sourzo.a_rithist_8.apk,315662b8d8c1ea9883cf9f73c8be007c940e217c32d09acccdffdee365218494,OK,com.github.sourzo.a_rithist,34,24,2,0,0,1,1,0,0,0,1,0,0,4,0,4,0,1,1,2,1,1,12,16,5,16,mixed,21.49
D:\APK_Downloader\android_repositories\fdroid_main\com.greenaddress.abcore_77.apk,com.greenaddress.abcore_77.apk,fdf8f1befbb9b33f205093b4bc4f5b778a4ed45b39e7e4ad5ef2136893d21a21,OK,com.greenaddress.abcore,28,21,2,0,0,0,2,2,1,0,0,0,0,4,2,9,3,1,0,0,0,5,17,3,0,17,v1,5.15
D:\APK_Downloader\android_repositories\fdroid_main\com.hassaneltantawy.alazkar_15.apk,com.hassaneltantawy.alazkar_15.apk,ee13269f826dae18bfe0f617b4c4c64094e8a126452b127c49c3a2741407944d,OK,com.hassaneltantawy.alazkar,36,24,1,0,0,1,0,0,0,0,1,0,0,0,6,2,0,2,3,2,1,1,3,16,5,16,v2,2.71
